EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:39:14  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm5/18/plt/Turb_hdf5_plt_cnt_0038
2023-03-19 12:39:14  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/144/plt/Turb_hdf5_plt_cnt_0544
2023-03-19 12:39:14  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm2/144/plt/Turb_hdf5_plt_cnt_0224
2023-03-19 12:39:21  ek9     638.0M  /scratch/ek9/nk7952/Re500/super_sonic/Pm1/288/plt/Turb_hdf5_plt_cnt_0473
2023-03-19 12:39:22  ek9      16.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/36/spect/Turb_hdf5_plt_cnt_0323_spect_mags.dat
2023-03-19 12:39:23  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm5/18/plt/Turb_hdf5_plt_cnt_0220
2023-03-19 12:39:23  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/144/plt/Turb_hdf5_plt_cnt_0017
2023-03-19 12:39:25  ek9       1.3M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/36/plt/Turb_hdf5_plt_cnt_0277
2023-03-19 12:39:29  ek9      52.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm250/144/spect/Turb_hdf5_plt_cnt_0033_spect_vels.dat
2023-03-19 12:39:30  ek9     104.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/288/spect/vis_folder/spectra=0240.png
2023-03-19 12:39:31  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm2/18/plt/Turb_hdf5_plt_cnt_0301
2023-03-19 12:39:31  ek9     200.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0111
2023-03-19 12:39:31  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpui67p418/tex.cache/d7a3a41bda9e46cc59c4868a2a284f68.dvi
2023-03-19 12:39:31  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm4/144/plt/Turb_hdf5_plt_cnt_0733
2023-03-19 12:39:32  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp93kzt5zk/tex.cache/d6a827abceba97ffa5622fa5340714a1.png
2023-03-19 12:39:34  ek9      52.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm125/144/spect/Turb_hdf5_plt_cnt_0020_spect_mags.dat
2023-03-19 12:39:36  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm5/144/plt/Turb_hdf5_plt_cnt_0005
2023-03-19 12:39:37  ek9      79.8M  /scratch/ek9/nk7952/Re500/super_sonic/Pm2/144/plt/Turb_hdf5_plt_cnt_0322
2023-03-19 12:39:40  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpuv3hkxpi/tex.cache/7f654a563bed27ad5f2a1b953fde2bd1.tex
2023-03-19 12:39:41  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm125/36/plt/Turb_hdf5_plt_cnt_0981
2023-03-19 12:39:42  ek9       4.0K  /scratch/ek9/nk7952/.vscode-server/bin/6261075646f055b99068d3688932416f2346dd3b/node_modules/cacache/lib/util/hash-to-segments.js
2023-03-19 12:39:43  ek9       1.3M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm250/36/plt/Turb_hdf5_plt_cnt_0878
2023-03-19 12:39:43  ek9      52.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm25/144/spect/Turb_hdf5_plt_cnt_0882_spect_vels.dat
2023-03-19 12:39:47  ek9      79.8M  /scratch/ek9/nk7952/Re10/super_sonic/Pm125/144/plt/Turb_hdf5_plt_cnt_0371
2023-03-19 12:39:47  ek9     100.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/288/spect/Turb_hdf5_plt_cnt_0047_spect_mags.dat
2023-03-19 12:39:55  ek9      79.8M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm250/144/plt/Turb_hdf5_plt_cnt_0523
